index,B15003_011E,state,county,tract,block group,B01001_048E,B23025_005E,B16004_066E,B01001_021E,B15003_010E,B27001_005E,B23025_003E,B19055_001E,B16004_044E,B27001_054E,B16004_022E,B01001_027E,B16004_013E,B01001_003E,B15003_014E,B16004_029E,B27001_020E,B03002_001E,C24010_055E,B16004_057E,B01001_044E,B11001_001E,B01001_020E,B15003_012E,B19055_002E,B17021_001E,B27001_017E,C24010_038E,B15003_008E,B15003_004E,B15003_006E,B27001_011E,B15003_013E,B16004_039E,B27001_036E,B15003_001E,B16004_062E,B25003_001E,B19301_001E,B25002_003E,B01001_025E,B16004_035E,B16004_040E,B16004_018E,C24010_032E,B11001_006E,B17021_002E,B25010_001E,B16004_030E,B25003_003E,B25064_001E,B01001_022E,B25044_001E,B03002_004E,B01001_001E,B01001_024E,B01001_026E,B25044_010E,B19001_001E,B25077_001E,B27001_033E,B25024_001E,B11005_005E,B25044_003E,B27001_029E,B27001_057E,B01001_047E,B16004_007E,B25024_010E,B27001_048E,B11005_003E,B16004_051E,B27001_051E,B16004_052E,B01001_045E,C24010_001E,B16004_067E,B27001_045E,B03002_012E,B16004_017E,B03002_006E,B27001_001E,B01001_023E,B16004_012E,C24010_068E,B16004_034E,B27001_039E,B03002_005E,B27001_014E,B15003_005E,B27001_023E,C24010_019E,B16004_061E,B15003_002E,B15003_015E,B16004_045E,B01001_046E,B27001_026E,B01002_001E,B15003_003E,B19001_017E,B27001_042E,B16004_008E,B16004_056E,B16004_001E,B15003_016E,B25002_001E,B15003_007E,B15003_009E,B27001_008E,B16004_023E,B01001_049E,bg_fips,tract_fips,country_fips,county_fips,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
484530001011,0.0,48,453,000101,1,0.0,11.0,0.0,16.0,0.0,0.0,622.0,396.0,0.0,0.0,0.0,24.0,0.0,72.0,0.0,0.0,0.0,1045.0,45.0,0.0,18.0,396.0,0.0,0.0,55.0,1045.0,18.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,699.0,0.0,396.0,54794.0,0.0,21.0,0.0,0.0,0.0,9.0,12.0,64.0,2.64,0.0,88.0,1441.0,18.0,396.0,26.0,1045.0,10.0,530.0,0.0,396.0,441400.0,0.0,396.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,15.0,0.0,0.0,611.0,0.0,14.0,113.0,0.0,0.0,4227.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,14.0,19.0,0.0,0.0,0.0,0.0,9.0,0.0,38.4,0.0,72.0,0.0,0.0,0.0,949.0,0.0,396.0,0.0,0.0,10.0,0.0,18.0,484530001011,48453000101,48453,48453,48,453,000101,1,1500000US484530001011,484530001011,1,BG,951255,0,"POLYGON ((-97.755501 30.33499, -97.75501299999999 30.336232, -97.75119099999999 30.33451, -97.74974899999999 30.334495, -97.748971 30.332932, -97.746358 30.330421, -97.74688999999999 30.327143, -97.74609699999999 30.326141, -97.745498 30.320406, -97.745909 30.320057, -97.749292 30.320717, -97.749118 30.318876, -97.752393 30.320426, -97.753479 30.320568, -97.749144 30.327637, -97.755685 30.330824, -97.755501 30.33499))"
484530001012,0.0,48,453,000101,2,0.0,13.0,0.0,8.0,0.0,0.0,765.0,476.0,0.0,0.0,0.0,63.0,0.0,37.0,0.0,0.0,0.0,1202.0,33.0,0.0,10.0,476.0,0.0,0.0,96.0,1194.0,18.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,848.0,0.0,476.0,86818.0,45.0,0.0,0.0,0.0,0.0,9.0,26.0,20.0,2.53,0.0,35.0,2179.0,25.0,476.0,0.0,1202.0,10.0,603.0,0.0,476.0,465900.0,0.0,521.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,147.0,0.0,15.0,0.0,18.0,752.0,0.0,14.0,121.0,0.0,0.0,4227.0,0.0,0.0,0.0,0.0,12.0,14.0,8.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,37.8,0.0,206.0,0.0,0.0,0.0,1102.0,11.0,521.0,0.0,0.0,10.0,0.0,0.0,484530001012,48453000101,48453,48453,48,453,000101,2,1500000US484530001012,484530001012,2,BG,1105423,0,"POLYGON ((-97.76411499999999 30.330839, -97.76036599999999 30.333044, -97.757077 30.337434, -97.75501299999999 30.336232, -97.755501 30.33499, -97.755685 30.330824, -97.749144 30.327637, -97.753479 30.320568, -97.755296 30.321355, -97.75590000000001 30.321367, -97.756137 30.321379, -97.75599099999999 30.325013, -97.758505 30.326617, -97.764645 30.329568, -97.76411499999999 30.330839))"
484530001013,9.0,48,453,000101,3,50.0,60.0,0.0,15.0,0.0,0.0,1087.0,1154.0,0.0,0.0,0.0,68.0,0.0,43.0,20.0,0.0,0.0,2016.0,67.0,0.0,12.0,1154.0,10.0,0.0,429.0,1980.0,18.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1611.0,0.0,1154.0,61602.0,170.0,75.0,0.0,0.0,0.0,7.0,105.0,181.0,1.72,0.0,769.0,1596.0,18.0,1154.0,0.0,2016.0,11.0,1219.0,79.0,1154.0,520300.0,0.0,1324.0,98.0,53.0,0.0,0.0,40.0,0.0,10.0,0.0,206.0,0.0,15.0,0.0,27.0,1027.0,0.0,14.0,163.0,0.0,70.0,4227.0,9.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,14.0,27.0,0.0,0.0,0.0,0.0,46.0,0.0,38.6,0.0,117.0,0.0,0.0,0.0,1905.0,9.0,1324.0,0.0,0.0,10.0,0.0,223.0,484530001013,48453000101,48453,48453,48,453,000101,3,1500000US484530001013,484530001013,3,BG,1068321,0,"POLYGON ((-97.757808 30.309068, -97.756783 30.314842, -97.756137 30.321379, -97.75590000000001 30.321367, -97.755296 30.321355, -97.753479 30.320568, -97.752393 30.320426, -97.749118 30.318876, -97.749246 30.315669, -97.74865 30.312972, -97.748842 30.308964, -97.748003 30.307218, -97.74758899999999 30.305624, -97.74882099999999 30.304717, -97.749259 30.305738, -97.750412 30.307159, -97.75162399999999 30.307765, -97.754639 30.308569, -97.75717899999999 30.308968, -97.757808 30.309068))"
484530001021,0.0,48,453,000102,1,23.0,24.0,0.0,21.0,0.0,0.0,800.0,682.0,0.0,0.0,0.0,47.0,0.0,42.0,2.0,2.0,1.0,1578.0,12.0,0.0,10.0,682.0,0.0,12.0,246.0,1577.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1196.0,0.0,682.0,104631.0,69.0,16.0,0.0,0.0,0.0,0.0,19.0,38.0,2.28,1.0,67.0,3073.0,91.0,682.0,87.0,1578.0,42.0,844.0,0.0,682.0,705900.0,0.0,751.0,28.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,25.0,776.0,0.0,8.0,96.0,0.0,30.0,2640.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,71.0,0.0,50.2,0.0,224.0,8.0,0.0,0.0,1489.0,7.0,751.0,2.0,0.0,5.0,0.0,41.0,484530001021,48453000102,48453,48453,48,453,000102,1,1500000US484530001021,484530001021,1,BG,2921983,138160,"POLYGON ((-97.78103899999999 30.332416, -97.779428 30.33248, -97.77725099999999 30.335186, -97.777323 30.337155, -97.77696 30.33705, -97.77666499999999 30.336888, -97.776568 30.336812, -97.77645299999999 30.336667, -97.776388 30.33643, -97.77584399999999 30.335614, -97.775447 30.338164, -97.77214099999999 30.339102, -97.770377 30.340897, -97.76860699999999 30.341006, -97.76653399999999 30.3406, -97.763049 30.342575, -97.76043399999999 30.341019, -97.75891 30.338441, -97.757077 30.337434, -97.76036599999999 30.333044, -97.76411499999999 30.330839, -97.764645 30.329568, -97.766487 30.328095, -97.76788999999999 30.325064, -97.770236 30.322502, -97.77340699999999 30.323629, -97.772869 30.320544, -97.774525 30.316339, -97.77160000000001 30.313164, -97.77383399999999 30.312598, -97.77588399999999 30.313606, -97.775661 30.31803, -97.77612099999999 30.320918, -97.776072 30.322177, -97.77650299999999 30.323838, -97.779747 30.330537, -97.780923 30.332248, -97.78103899999999 30.332416))"
484530001022,0.0,48,453,000102,2,16.0,0.0,0.0,0.0,0.0,0.0,532.0,425.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,1.0,1062.0,25.0,0.0,0.0,425.0,11.0,0.0,171.0,1062.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,746.0,0.0,425.0,96473.0,0.0,26.0,0.0,0.0,0.0,0.0,21.0,8.0,2.5,0.0,39.0,3464.285714285714,59.0,425.0,0.0,1062.0,7.0,570.0,0.0,425.0,840100.0,0.0,425.0,18.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,532.0,0.0,8.0,31.0,0.0,17.0,2640.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,50.3,0.0,135.0,8.0,0.0,0.0,957.0,0.0,425.0,0.0,0.0,5.0,0.0,38.0,484530001022,48453000102,48453,48453,48,453,000102,2,1500000US484530001022,484530001022,2,BG,2584046,0,"POLYGON ((-97.772869 30.320544, -97.77340699999999 30.323629, -97.770236 30.322502, -97.76788999999999 30.325064, -97.766487 30.328095, -97.764645 30.329568, -97.758505 30.326617, -97.75599099999999 30.325013, -97.756137 30.321379, -97.756783 30.314842, -97.757808 30.309068, -97.761624 30.30995, -97.76267399999999 30.31048, -97.764229 30.311853, -97.767155 30.313537, -97.76903999999999 30.314529, -97.77160000000001 30.313164, -97.774525 30.316339, -97.772869 30.320544))"
484530002031,0.0,48,453,000203,1,6.0,57.0,0.0,10.0,0.0,0.0,857.0,767.0,0.0,0.0,0.0,6.0,0.0,11.0,22.0,0.0,0.0,1594.0,15.0,0.0,9.0,767.0,0.0,12.0,24.0,1395.0,6.0,368.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,942.0,0.0,767.0,42938.0,133.0,0.0,0.0,0.0,0.0,0.0,42.0,489.0,1.75,0.0,767.0,1723.0,7.0,767.0,107.0,1594.0,0.0,826.0,44.0,767.0,739872.6851851852,0.0,900.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,16.0,800.0,0.0,4.0,299.0,0.0,139.0,1395.0,15.0,0.0,0.0,0.0,43.0,0.0,6.0,0.0,5.0,4.0,0.0,0.0,3.0,0.0,8.0,0.0,25.9,0.0,30.0,25.0,0.0,0.0,1577.0,0.0,900.0,0.0,11.0,6.0,0.0,0.0,484530002031,48453000203,48453,48453,48,453,000203,1,1500000US484530002031,484530002031,1,BG,1208518,0,"POLYGON ((-97.740039 30.30995, -97.737571 30.313464, -97.74156699999999 30.315401, -97.73956099999999 30.318595, -97.73754699999999 30.317658, -97.73400799999999 30.32328, -97.73187899999999 30.322182, -97.733537 30.319415, -97.731133 30.318265, -97.73222299999999 30.316499, -97.73297599999999 30.310843, -97.73579599999999 30.30639, -97.738147 30.302741, -97.74311 30.305195, -97.740039 30.30995))"
484530002041,0.0,48,453,000204,1,0.0,40.0,0.0,10.0,0.0,0.0,694.0,604.0,0.0,0.0,0.0,27.0,0.0,7.0,0.0,0.0,25.0,1113.0,21.0,0.0,0.0,604.0,10.0,0.0,20.0,1113.0,12.0,215.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,630.0,0.0,604.0,42831.0,121.0,0.0,0.0,0.0,0.0,0.0,20.0,494.0,1.83,0.0,446.0,909.0,0.0,604.0,7.0,1113.0,0.0,345.0,133.0,604.0,410000.0,0.0,725.0,45.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,82.0,0.0,0.0,0.0,0.0,654.0,0.0,0.0,158.0,0.0,72.0,3010.0,0.0,0.0,0.0,0.0,22.0,0.0,71.0,0.0,11.0,68.0,0.0,0.0,0.0,0.0,15.0,0.0,25.5,0.0,54.0,41.0,0.0,0.0,1079.0,0.0,725.0,0.0,0.0,0.0,0.0,0.0,484530002041,48453000204,48453,48453,48,453,000204,1,1500000US484530002041,484530002041,1,BG,513785,0,"POLYGON ((-97.747772 30.297743, -97.74311 30.305195, -97.738147 30.302741, -97.74210000000001 30.296504, -97.742817 30.295429, -97.74391799999999 30.295922, -97.747772 30.297743))"
484530002042,0.0,48,453,000204,2,9.0,15.0,0.0,27.0,11.0,0.0,763.0,635.0,0.0,0.0,0.0,22.0,0.0,6.0,0.0,0.0,25.0,1255.0,16.0,0.0,22.0,635.0,13.0,0.0,146.0,1205.0,12.0,297.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1042.0,0.0,635.0,67348.0,51.0,19.0,0.0,0.0,0.0,11.0,41.0,88.0,1.9,0.0,251.0,1181.0,33.0,635.0,19.0,1255.0,11.0,585.0,24.0,635.0,498300.0,0.0,686.0,20.0,28.0,0.0,0.0,9.0,0.0,0.0,8.0,93.0,0.0,0.0,0.0,18.0,748.0,0.0,0.0,153.0,0.0,16.0,3010.0,25.0,0.0,0.0,0.0,22.0,0.0,71.0,0.0,11.0,45.0,0.0,10.0,9.0,0.0,20.0,0.0,40.2,0.0,115.0,41.0,0.0,0.0,1227.0,14.0,686.0,0.0,0.0,0.0,0.0,52.0,484530002042,48453000204,48453,48453,48,453,000204,2,1500000US484530002042,484530002042,2,BG,549460,0,"POLYGON ((-97.749118 30.318876, -97.74156699999999 30.315401, -97.742594 30.311189, -97.74267499999999 30.308427, -97.748499 30.310792, -97.747506 30.307089, -97.748003 30.307218, -97.748842 30.308964, -97.74865 30.312972, -97.749246 30.315669, -97.749118 30.318876))"
484530002043,0.0,48,453,000204,3,0.0,0.0,0.0,0.0,0.0,0.0,394.0,324.0,0.0,0.0,0.0,35.0,0.0,23.0,0.0,0.0,25.0,692.0,1.0,0.0,0.0,324.0,26.0,0.0,48.0,692.0,12.0,239.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,524.0,0.0,324.0,58717.0,0.0,11.0,0.0,0.0,0.0,0.0,8.0,32.0,2.11,0.0,156.0,1107.0,15.0,324.0,11.0,692.0,0.0,426.0,21.0,324.0,638900.0,0.0,324.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,117.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,126.0,0.0,54.0,3010.0,0.0,0.0,0.0,0.0,22.0,0.0,71.0,0.0,11.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,80.0,41.0,0.0,0.0,634.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,484530002043,48453000204,48453,48453,48,453,000204,3,1500000US484530002043,484530002043,3,BG,759687,0,"POLYGON ((-97.74882099999999 30.304717, -97.74758899999999 30.305624, -97.748003 30.307218, -97.747506 30.307089, -97.748499 30.310792, -97.74267499999999 30.308427, -97.742594 30.311189, -97.74156699999999 30.315401, -97.737571 30.313464, -97.740039 30.30995, -97.74311 30.305195, -97.747772 30.297743, -97.74910899999999 30.298862, -97.74710999999999 30.299484, -97.75009 30.302673, -97.74882099999999 30.304717))"
484530002051,0.0,48,453,000205,1,0.0,11.0,0.0,0.0,0.0,20.0,1123.0,815.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0,0.0,0.0,1529.0,12.0,0.0,0.0,815.0,35.0,20.0,86.0,1529.0,15.0,517.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1344.0,115.0,815.0,46588.0,92.0,0.0,0.0,0.0,0.0,0.0,30.0,51.0,1.88,0.0,477.0,1324.0,55.0,815.0,21.0,1529.0,22.0,755.0,0.0,815.0,302100.0,0.0,907.0,67.0,35.0,0.0,0.0,37.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,80.0,1112.0,0.0,0.0,174.0,0.0,179.0,3929.0,0.0,0.0,0.0,0.0,21.0,0.0,213.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,15.0,0.0,34.4,0.0,76.0,0.0,0.0,0.0,1484.0,0.0,907.0,0.0,0.0,0.0,0.0,0.0,484530002051,48453000205,48453,48453,48,453,000205,1,1500000US484530002051,484530002051,1,BG,576345,0,"POLYGON ((-97.73982199999999 30.334852, -97.73159299999999 30.330871, -97.73586899999999 30.324162, -97.73961299999999 30.325852, -97.74009599999999 30.33248, -97.73982199999999 30.334852))"
484530002052,0.0,48,453,000205,2,0.0,52.0,0.0,27.0,0.0,20.0,1441.0,1056.0,0.0,0.0,0.0,48.0,0.0,81.0,0.0,0.0,0.0,1828.0,46.0,0.0,0.0,1056.0,0.0,0.0,141.0,1828.0,15.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,1056.0,45802.0,95.0,17.0,0.0,0.0,0.0,28.0,0.0,144.0,1.73,0.0,801.0,1064.0,15.0,1056.0,109.0,1828.0,0.0,792.0,47.0,1056.0,447700.0,0.0,1151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,1389.0,0.0,0.0,455.0,0.0,170.0,3929.0,0.0,0.0,0.0,0.0,21.0,26.0,213.0,0.0,0.0,66.0,0.0,9.0,80.0,0.0,0.0,0.0,29.7,0.0,28.0,0.0,0.0,0.0,1699.0,28.0,1151.0,0.0,0.0,0.0,0.0,0.0,484530002052,48453000205,48453,48453,48,453,000205,2,1500000US484530002052,484530002052,2,BG,653070,0,"POLYGON ((-97.73586899999999 30.324162, -97.73159299999999 30.330871, -97.72796199999999 30.329035, -97.726326 30.32596, -97.728252 30.322948, -97.730818 30.318694, -97.731133 30.318265, -97.733537 30.319415, -97.73187899999999 30.322182, -97.73400799999999 30.32328, -97.73586899999999 30.324162))"
484530002053,0.0,48,453,000205,3,0.0,11.0,0.0,0.0,0.0,20.0,479.0,275.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,580.0,0.0,0.0,0.0,275.0,11.0,0.0,12.0,580.0,15.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,0.0,275.0,56866.0,44.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,2.11,0.0,137.0,1101.0,0.0,275.0,15.0,580.0,0.0,276.0,0.0,275.0,428600.0,0.0,319.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,57.0,0.0,12.0,3929.0,0.0,0.0,0.0,0.0,21.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,0.0,61.0,0.0,0.0,0.0,517.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,484530002053,48453000205,48453,48453,48,453,000205,3,1500000US484530002053,484530002053,3,BG,282745,0,"POLYGON ((-97.73961299999999 30.325852, -97.73586899999999 30.324162, -97.73400799999999 30.32328, -97.73754699999999 30.317658, -97.73956099999999 30.318595, -97.73918399999999 30.319278, -97.739363 30.321995, -97.73961299999999 30.325852))"
484530002061,0.0,48,453,000206,1,0.0,6.0,0.0,25.0,0.0,0.0,843.0,641.0,0.0,0.0,0.0,66.0,0.0,39.0,0.0,11.0,9.0,1252.0,31.0,0.0,13.0,641.0,0.0,0.0,101.0,1252.0,27.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.0,0.0,641.0,69418.0,29.0,0.0,0.0,0.0,0.0,0.0,46.0,43.0,1.95,0.0,207.0,1427.0,0.0,641.0,0.0,1252.0,0.0,761.0,11.0,641.0,507000.0,0.0,670.0,19.0,0.0,0.0,0.0,28.0,0.0,11.0,0.0,139.0,0.0,11.0,0.0,11.0,837.0,0.0,20.0,86.0,0.0,75.0,3292.0,29.0,0.0,0.0,0.0,26.0,0.0,24.0,0.0,6.0,28.0,0.0,11.0,0.0,0.0,47.0,0.0,33.8,0.0,88.0,29.0,0.0,0.0,1147.0,0.0,670.0,0.0,0.0,0.0,0.0,8.0,484530002061,48453000206,48453,48453,48,453,000206,1,1500000US484530002061,484530002061,1,BG,592717,0,"POLYGON ((-97.749292 30.320717, -97.745909 30.320057, -97.745498 30.320406, -97.74609699999999 30.326141, -97.74393599999999 30.325056, -97.739363 30.321995, -97.73918399999999 30.319278, -97.73956099999999 30.318595, -97.74156699999999 30.315401, -97.749118 30.318876, -97.749292 30.320717))"
484530002062,0.0,48,453,000206,2,12.0,0.0,0.0,0.0,0.0,0.0,551.0,343.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,9.0,884.0,11.0,0.0,11.0,343.0,0.0,0.0,80.0,884.0,27.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,343.0,75336.0,18.0,15.0,0.0,0.0,0.0,0.0,12.0,11.0,2.58,0.0,27.0,992.0,11.0,343.0,100.0,884.0,13.0,379.0,0.0,343.0,502900.0,0.0,361.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,74.0,0.0,11.0,0.0,8.0,551.0,0.0,20.0,57.0,0.0,15.0,3292.0,12.0,0.0,0.0,0.0,26.0,0.0,24.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,11.0,0.0,42.3,0.0,101.0,29.0,0.0,0.0,872.0,0.0,361.0,0.0,0.0,0.0,0.0,22.0,484530002062,48453000206,48453,48453,48,453,000206,2,1500000US484530002062,484530002062,2,BG,548479,0,"POLYGON ((-97.74974899999999 30.334495, -97.74557899999999 30.33581, -97.741908 30.335104, -97.741269 30.328061, -97.74414299999999 30.328014, -97.74393599999999 30.325056, -97.74609699999999 30.326141, -97.74688999999999 30.327143, -97.746358 30.330421, -97.748971 30.332932, -97.74974899999999 30.334495))"
484530002063,11.0,48,453,000206,3,0.0,23.0,0.0,19.0,0.0,0.0,899.0,683.0,0.0,0.0,0.0,22.0,0.0,10.0,10.0,0.0,9.0,1156.0,83.0,0.0,0.0,683.0,0.0,0.0,86.0,1156.0,27.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,0.0,683.0,36528.0,57.0,0.0,0.0,0.0,0.0,9.0,62.0,197.0,1.69,0.0,629.0,1202.0,11.0,683.0,30.0,1156.0,0.0,537.0,94.0,683.0,433300.0,0.0,740.0,50.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,11.0,0.0,38.0,876.0,10.0,20.0,282.0,0.0,14.0,3292.0,10.0,0.0,0.0,0.0,26.0,0.0,24.0,0.0,6.0,84.0,0.0,0.0,0.0,0.0,10.0,0.0,33.2,0.0,0.0,29.0,0.0,0.0,1124.0,10.0,740.0,0.0,0.0,0.0,0.0,11.0,484530002063,48453000206,48453,48453,48,453,000206,3,1500000US484530002063,484530002063,3,BG,339612,0,"POLYGON ((-97.74414299999999 30.328014, -97.741269 30.328061, -97.741908 30.335104, -97.74051 30.335007, -97.73982199999999 30.334852, -97.74009599999999 30.33248, -97.73961299999999 30.325852, -97.739363 30.321995, -97.74393599999999 30.325056, -97.74414299999999 30.328014))"
484530003021,0.0,48,453,000302,1,0.0,0.0,0.0,0.0,0.0,0.0,788.0,581.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,15.0,978.0,53.0,0.0,0.0,581.0,0.0,0.0,23.0,978.0,14.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,581.0,52604.0,49.0,0.0,0.0,0.0,0.0,19.0,0.0,97.0,1.68,0.0,408.0,1077.0,23.0,581.0,54.0,978.0,0.0,487.0,67.0,581.0,526200.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,788.0,0.0,0.0,173.0,0.0,0.0,4934.0,0.0,0.0,0.0,0.0,38.0,26.0,96.0,0.0,31.0,22.0,0.0,0.0,0.0,0.0,9.0,0.0,32.6,0.0,51.0,109.0,0.0,0.0,933.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,484530003021,48453000302,48453,48453,48,453,000302,1,1500000US484530003021,484530003021,1,BG,283667,0,"POLYGON ((-97.73297599999999 30.310843, -97.72838999999999 30.308633, -97.73124299999999 30.304205, -97.73579599999999 30.30639, -97.73297599999999 30.310843))"
484530003022,0.0,48,453,000302,2,0.0,36.0,0.0,8.0,0.0,0.0,694.0,595.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,15.0,984.0,32.0,0.0,9.0,595.0,0.0,0.0,74.0,954.0,14.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0,0.0,595.0,27270.0,109.0,0.0,0.0,0.0,0.0,0.0,16.0,323.0,1.6,0.0,545.0,1005.0,30.0,595.0,97.0,984.0,0.0,581.0,40.0,595.0,554700.0,0.0,704.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,658.0,0.0,0.0,87.0,0.0,104.0,4934.0,0.0,0.0,0.0,0.0,38.0,24.0,96.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,0.0,18.0,109.0,0.0,0.0,961.0,0.0,704.0,0.0,0.0,0.0,0.0,9.0,484530003022,48453000302,48453,48453,48,453,000302,2,1500000US484530003022,484530003022,2,BG,232141,0,"POLYGON ((-97.73579599999999 30.30639, -97.73124299999999 30.304205, -97.733548 30.30053, -97.738147 30.302741, -97.73579599999999 30.30639))"
484530003023,0.0,48,453,000302,3,0.0,72.0,0.0,10.0,0.0,0.0,615.0,435.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,15.0,872.0,15.0,0.0,0.0,435.0,0.0,0.0,26.0,872.0,14.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,0.0,435.0,59243.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,2.0,0.0,289.0,1333.0,0.0,435.0,0.0,872.0,0.0,401.0,100.0,435.0,715400.0,0.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,61.0,0.0,92.0,4934.0,0.0,0.0,0.0,0.0,38.0,0.0,96.0,0.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,0.0,111.0,109.0,0.0,0.0,855.0,0.0,446.0,0.0,0.0,0.0,0.0,0.0,484530003023,48453000302,48453,48453,48,453,000302,3,1500000US484530003023,484530003023,3,BG,339761,0,"POLYGON ((-97.72460699999999 30.306998, -97.72391399999999 30.306838, -97.72093699999999 30.305483, -97.71961499999999 30.304854, -97.720984 30.302657, -97.722386 30.299682, -97.727615 30.302246, -97.72460699999999 30.306998))"
